2026-09-19 00:06:26 | INFO     | Tabla limpia: 46,351 filas, 22 plazas, 85.8% confiables
2026-09-19 00:06:26 | INFO     | Métricas en reports/metricas.json
2026-09-19 00:06:26 | INFO     | Pipeline completado sin novedades
2026-09-22 00:42:02 | INFO     | Pipeline SIPSA — procesando 5 fecha(s)
2026-09-22 00:42:02 | INFO     | Histórico: 46,351 filas hasta 2026-09-18
2026-09-22 00:42:04 | WARNING  | 2026-09-22: sin publicación en día hábil no festivo
2026-09-22 00:42:04 | INFO     | Extraídas 1,514 filas de 4 día(s)
2026-09-22 00:42:04 | INFO     | control 'esquema': OK
2026-09-22 00:42:04 | INFO     | control 'volumen': OK
2026-09-22 00:42:04 | INFO     | control 'vocabulario': OK
2026-09-22 00:42:04 | INFO     | control 'rango': OK
2026-09-22 00:42:04 | INFO     | control 'duplicados': OK
2026-09-22 00:42:05 | INFO     | Tabla limpia: 46,728 filas, 22 plazas, 85.8% confiables
2026-09-22 00:42:05 | INFO     | Métricas en reports/metricas.json
2026-09-22 00:42:05 | INFO     | Pipeline completado sin novedades
2026-09-23 00:14:55 | INFO     | Pipeline SIPSA — procesando 5 fecha(s)
2026-09-23 00:14:55 | INFO     | Histórico: 46,728 filas hasta 2026-09-21
2026-09-23 00:14:57 | WARNING  | 2026-09-23: sin publicación en día hábil no festivo
2026-09-23 00:14:57 | INFO     | Extraídas 1,511 filas de 4 día(s)
2026-09-23 00:14:57 | INFO     | control 'esquema': OK
2026-09-23 00:14:57 | INFO     | control 'volumen': OK
2026-09-23 00:14:57 | INFO     | control 'vocabulario': OK
2026-09-23 00:14:57 | INFO     | control 'rango': OK
2026-09-23 00:14:57 | INFO     | control 'duplicados': OK
2026-09-23 00:14:58 | INFO     | Tabla limpia: 47,038 filas, 22 plazas, 85.8% confiables
2026-09-23 00:14:58 | INFO     | Métricas en reports/metricas.json
2026-09-23 00:14:58 | INFO     | Pipeline completado sin novedades
2026-09-24 00:22:19 | INFO     | Pipeline SIPSA — procesando 5 fecha(s)
2026-09-24 00:22:19 | INFO     | Histórico: 47,038 filas hasta 2026-09-22
2026-09-24 00:22:21 | WARNING  | 2026-09-24: sin publicación en día hábil no festivo
2026-09-24 00:22:21 | INFO     | Extraídas 1,416 filas de 4 día(s)
2026-09-24 00:22:21 | INFO     | control 'esquema': OK
2026-09-24 00:22:21 | INFO     | control 'volumen': OK
2026-09-24 00:22:21 | INFO     | control 'vocabulario': OK
2026-09-24 00:22:21 | INFO     | control 'rango': OK
2026-09-24 00:22:21 | INFO     | control 'duplicados': OK
2026-09-24 00:22:21 | INFO     | Tabla limpia: 47,342 filas, 22 plazas, 85.8% confiables
2026-09-24 00:22:21 | INFO     | Métricas en reports/metricas.json
2026-09-24 00:22:21 | INFO     | Pipeline completado sin novedades
2026-09-25 00:25:10 | INFO     | Pipeline SIPSA — procesando 5 fecha(s)
2026-09-25 00:25:11 | INFO     | Histórico: 47,342 filas hasta 2026-09-23
2026-09-25 00:25:12 | WARNING  | 2026-09-25: sin publicación en día hábil no festivo
2026-09-25 00:25:12 | INFO     | Extraídas 1,376 filas de 4 día(s)
2026-09-25 00:25:12 | INFO     | control 'esquema': OK
2026-09-25 00:25:12 | INFO     | control 'volumen': OK
2026-09-25 00:25:12 | INFO     | control 'vocabulario': OK
2026-09-25 00:25:12 | INFO     | control 'rango': OK
2026-09-25 00:25:12 | INFO     | control 'duplicados': OK
2026-09-25 00:25:13 | INFO     | Tabla limpia: 47,727 filas, 22 plazas, 85.7% confiables
2026-09-25 00:25:13 | INFO     | Métricas en reports/metricas.json
2026-09-25 00:25:13 | INFO     | Pipeline completado sin novedades
2026-09-26 00:29:42 | INFO     | Pipeline SIPSA — procesando 5 fecha(s)
2026-09-26 00:29:42 | INFO     | Histórico: 47,727 filas hasta 2026-09-24
2026-09-26 00:29:43 | INFO     | Extraídas 1,807 filas de 5 día(s)
2026-09-26 00:29:43 | INFO     | control 'esquema': OK
2026-09-26 00:29:43 | INFO     | control 'volumen': OK
2026-09-26 00:29:43 | INFO     | control 'vocabulario': OK
2026-09-26 00:29:43 | INFO     | control 'rango': OK
2026-09-26 00:29:43 | INFO     | control 'duplicados': OK
2026-09-26 00:29:44 | INFO     | Tabla limpia: 48,158 filas, 22 plazas, 85.8% confiables
2026-09-26 00:29:44 | INFO     | Métricas en reports/metricas.json
2026-09-26 00:29:44 | INFO     | Pipeline completado sin novedades
